title_year,genres,color,duration,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,num_critic_for_reviews,num_voted_users,facenumber_in_poster,num_user_for_reviews,language,gross,budget,imdb_score,aspect_ratio
2013,Action|Adventure|Western,Color,150,563,40000,2000,1000,45757,48000,450,181792,1,711,English,89289910,215000000,6.5,2.35
2013,Action|Adventure|Fantasy|Sci-Fi,Color,143,0,15000,3000,748,20495,118000,733,548573,0,2536,English,291021565,225000000,7.2,2.35
2008,Action|Adventure|Family|Fantasy,Color,150,80,22000,216,201,22697,0,258,149922,4,438,English,141614023,225000000,6.6,2.35
2012,Action|Adventure|Sci-Fi,Color,173,0,26000,21000,19000,87697,123000,703,995415,3,1722,English,623279547,220000000,8.1,1.85
2011,Action|Adventure|Fantasy,Color,136,252,40000,11000,1000,54083,58000,448,370704,4,484,English,241063875,250000000,6.7,2.35
2012,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Color,106,188,10000,816,718,12572,40000,451,268154,1,341,English,179020854,225000000,6.8,1.85
2014,Adventure|Fantasy,Color,164,0,5000,972,773,9152,65000,422,354228,0,802,English,255108370,250000000,7.5,2.35
2012,Action|Adventure|Fantasy,Color,153,464,15000,10000,963,28489,56000,599,451803,0,1225,English,262030663,230000000,7,2.35
2010,Action|Adventure|Drama|History,Color,156,0,891,882,738,3244,17000,343,211765,0,546,English,105219735,200000000,6.7,2.35
2013,Adventure|Fantasy,Color,186,0,5000,972,773,9152,83000,509,483540,6,951,English,258355354,225000000,7.9,2.35
2007,Adventure|Family|Fantasy,Color,113,129,16000,6000,1000,24106,0,251,149019,2,666,English,70083519,180000000,6.1,2.35
2005,Action|Adventure|Drama|Romance,Color,201,0,6000,919,84,7123,0,446,316018,0,2618,English,218051260,207000000,7.2,2.35
1997,Drama|Romance,Color,194,0,29000,14000,794,45223,26000,315,793059,0,2528,English,658672302,200000000,7.7,2.35
2016,Action|Adventure|Sci-Fi,Color,147,94,21000,19000,11000,64798,72000,516,272670,0,1022,English,407197282,250000000,8.2,2.35
2012,Action|Adventure|Sci-Fi|Thriller,Color,131,532,14000,10000,627,26679,44000,377,202382,0,751,English,65173160,209000000,5.9,2.35
2015,Action|Adventure|Sci-Fi|Thriller,Color,124,365,3000,2000,1000,8458,150000,644,418214,0,1290,English,652177271,150000000,7,2
2012,Action|Adventure|Thriller,Color,143,0,883,563,393,2039,80000,750,522030,0,1498,English,304360277,200000000,7.8,2.35
2004,Action|Adventure|Fantasy|Romance,Color,135,0,24000,11000,4000,43388,0,300,411164,1,1303,English,373377893,200000000,7.3,2.35
2013,Action|Adventure|Sci-Fi,Color,195,1000,21000,4000,3000,30426,95000,608,557489,3,1187,English,408992272,200000000,7.2,2.35
2010,Adventure|Family|Fantasy,Color,108,13000,40000,25000,11000,79957,24000,451,306320,0,736,English,334185206,200000000,6.5,1.85
2006,Action|Adventure|Fantasy|Sci-Fi|Thriller,Color,104,420,20000,808,560,21714,0,334,383427,0,1912,English,234360014,210000000,6.8,2.35
2013,Adventure|Animation|Comedy|Family|Fantasy,Color,104,37,12000,779,760,14863,44000,376,235025,0,265,English,268488329,200000000,7.3,1.85
2009,Action|Adventure|Sci-Fi,Color,150,0,894,581,464,3218,0,366,323207,0,1439,English,402076689,200000000,6,2.35
2014,Action|Adventure|Sci-Fi,Color,165,0,974,956,808,3988,56000,378,242420,2,918,English,245428137,210000000,5.7,2.35
2013,Adventure|Family|Fantasy,Color,130,0,44000,15000,11000,73441,60000,525,175409,4,511,English,234903076,215000000,6.4,2.35
2014,Action|Adventure|Fantasy|Sci-Fi,Color,142,464,15000,10000,825,28631,41000,495,321227,0,1067,English,202853933,200000000,6.7,2.35
2010,Action|Adventure|Sci-Fi,Color,125,364,12000,10000,1000,25550,30000,469,264183,0,665,English,172051787,170000000,6.8,2.35
2011,Adventure|Animation|Comedy|Family|Sport,Color,106,487,1000,919,776,4482,10000,304,101178,0,283,English,191450875,200000000,6.3,2.35
2011,Action|Adventure|Sci-Fi,Color,123,258,16000,368,326,17657,24000,436,223393,2,550,English,116593191,200000000,5.6,2.35
2010,Adventure|Animation|Comedy|Family|Fantasy,Color,103,125,15000,1000,721,19085,30000,453,544884,3,733,English,414984497,200000000,8.3,1.85
2009,Action|Adventure|Sci-Fi,Color,118,368,23000,3000,988,27468,0,422,286095,0,974,English,125320003,200000000,6.6,2.35
2015,Action|Crime|Thriller,Color,140,0,26000,23000,14000,79150,94000,424,278232,0,657,English,350034110,190000000,7.2,2.35
2013,Action|Adventure|Horror|Sci-Fi|Thriller,Color,123,395,17000,11000,1000,32392,129000,654,465019,0,995,English,202351611,190000000,7,2.35
2014,Action|Adventure|Fantasy|Sci-Fi|Thriller,Color,149,0,34000,22000,20000,91434,82000,539,514125,7,752,English,233914986,200000000,8,2.35
2013,Action|Adventure|Sci-Fi,Color,132,14000,19000,981,928,21411,92000,590,395573,0,1171,English,228756232,190000000,7.8,2.35
2013,Adventure|Fantasy,Color,114,0,979,557,140,1766,22000,338,106416,1,205,English,65171860,195000000,6.3,2.35
2013,Drama|Romance,Color,143,1000,29000,509,77,29770,115000,490,362912,4,753,English,144812796,105000000,7.3,2.35
2010,Action|Adventure|Fantasy|Romance,Color,116,179,15000,567,236,16149,23000,306,222403,2,453,English,90755643,200000000,6.6,2.35
2013,Action|Adventure|Sci-Fi,Color,131,0,16000,968,919,19166,83000,575,381148,0,1106,English,101785482,190000000,7,1.85
2011,Action|Adventure|Sci-Fi,Color,154,0,894,829,581,2593,46000,428,326180,2,899,English,352358779,195000000,6.3,2.35
2008,Action|Adventure|Fantasy,Color,122,14000,11000,1000,1000,14959,5000,470,333847,2,2054,English,317011114,185000000,6.2,2.35
2015,Adventure|Animation|Comedy|Family|Fantasy,Color,93,113,275,150,113,696,20000,298,62836,0,345,English,123070338,,6.8,2.35
2012,Adventure|Animation|Comedy|Family|Fantasy,Color,93,56,2000,1000,838,5005,39000,488,273556,0,428,English,237282182,185000000,7.2,2.35
2016,Action|Adventure|Sci-Fi|Thriller,Color,122,681,998,119,105,1327,30000,322,53607,4,432,English,130468626,185000000,7.5,2.35
2008,Adventure|Animation|Family|Sci-Fi,Color,98,475,1000,729,522,2975,16000,421,718837,0,1043,English,223806889,180000000,8.4,2.35
2007,Action|Comedy|Crime|Thriller,Color,91,420,268,268,173,1125,0,162,121084,2,221,English,140080850,140000000,6.2,2.35
2009,Action|Adventure|Sci-Fi,Color,158,776,1000,468,310,2144,13000,367,283418,0,1055,English,166112167,200000000,5.8,2.35
2009,Animation|Drama|Family|Fantasy,Color,96,0,18000,14000,10000,48878,0,240,72809,0,249,English,137850096,200000000,6.8,2.35
2015,Action|Adventure|Sci-Fi,Color,127,0,17000,15000,13000,47334,44000,384,139593,1,720,English,47375327,176000000,5.4,2.35
2016,Action|Adventure|Drama|Romance,Color,110,282,11000,10000,103,21175,29000,248,42372,2,239,English,124051759,180000000,6.6,2.35
2005,Adventure|Family|Fantasy,Color,150,80,1000,190,82,1317,0,284,286506,5,1463,English,291709845,180000000,6.9,2.35
2016,Action|Adventure|Sci-Fi,Color,144,0,34000,13000,1000,49684,54000,396,148379,6,622,English,154985087,178000000,7.3,2.35
2008,Action|Crime|Drama|Thriller,Color,152,22000,23000,13000,11000,57802,37000,645,1676169,0,4667,English,533316061,185000000,9,2.35
2009,Adventure|Animation|Comedy|Family,Color,96,0,1000,848,262,2635,27000,408,665575,1,704,English,292979556,175000000,8.3,1.85
2009,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Color,94,11,1000,973,459,2579,0,219,114553,2,187,English,198332128,175000000,6.5,2.35
2008,Action|Adventure|Sci-Fi,Color,126,4000,21000,12000,4000,39252,10000,486,696338,3,1055,English,318298180,140000000,7.9,2.35
2011,Adventure|Drama|Family|Mystery,Color,126,17000,17000,16000,1000,36017,42000,682,245333,0,678,English,73820094,170000000,7.5,1.85
1999,Action|Comedy|Sci-Fi|Western,Color,106,188,10000,4000,582,15870,0,85,129601,2,648,English,113745408,170000000,4.8,1.85
2008,Action|Adventure|Fantasy|Horror|Thriller,Color,112,357,5000,3000,595,9131,0,264,117927,2,501,English,102176165,145000000,5.2,2.35
2016,Action|Adventure|Comedy|Sci-Fi,Color,123,452,10000,336,329,11287,80000,418,118992,8,971,English,161087183,175000000,6.9,2.35
2007,Comedy|Family|Fantasy,Color,96,293,87000,11000,7000,108016,2000,186,115099,0,257,English,100289690,175000000,5.4,2.35
2014,Action|Adventure|Sci-Fi,Color,113,218,10000,854,509,12652,77000,585,431620,1,741,English,100189501,178000000,7.9,2.35
1995,Action|Adventure|Sci-Fi|Thriller,Color,176,58,711,60,60,1004,0,91,144337,0,309,English,88246220,175000000,6.1,1.85
2009,Action|Adventure|Sci-Fi|Thriller,Color,118,208,23000,2000,570,26683,0,250,174578,4,534,English,150167630,175000000,5.8,2.35
2015,Adventure|Animation|Comedy|Drama|Family|Fantasy,Color,95,0,1000,767,384,2944,118000,536,345198,1,773,English,356454367,175000000,8.3,1.85
2016,Adventure|Drama|Family|Fantasy,Color,106,4000,19000,13000,591,32921,65000,370,106072,0,398,English,362645141,175000000,7.8,1.85
2010,Action|Adventure|Sci-Fi,Color,124,4000,21000,19000,4000,48638,18000,453,522371,4,723,English,312057433,200000000,7,2.35
2012,Action|Adventure|Drama|Fantasy,Color,132,274,26000,17000,11000,72881,53000,416,228554,0,710,English,155111815,170000000,6.1,2.35
2014,Action|Adventure|Family|Fantasy|Romance,Color,97,171,11000,2000,846,15516,89000,401,252257,2,634,English,241407328,180000000,7,2.35
2014,Action|Adventure|Drama|Sci-Fi,Color,130,198,10000,2000,884,14363,45000,521,317542,0,620,English,208543795,170000000,7.6,1.85
2015,Action|Adventure|Romance|Sci-Fi,Color,109,596,622,525,283,1982,677,10,2138,3,15,English,,,4.5,
2013,Action|Adventure|Drama|Fantasy,Color,128,47,18000,1000,982,20965,35000,218,116994,2,324,English,38297305,175000000,6.3,2.35
2014,Action|Adventure|Sci-Fi,Color,136,94,19000,11000,2000,36188,55000,576,496749,1,742,English,259746958,170000000,7.8,2.35
2010,Adventure|Animation|Comedy|Family|Fantasy,Color,93,31,4000,225,213,4628,0,226,138661,2,173,English,238371987,165000000,6.4,2.35
2015,Action|Adventure|Family|Mystery|Sci-Fi,Color,130,663,2000,638,604,5046,37000,443,128306,2,497,English,93417865,190000000,6.5,2.2
2014,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Color,102,38,756,719,562,2963,41000,384,279093,0,433,English,222487711,165000000,7.9,2.39
2012,Adventure|Animation|Comedy|Family|Sci-Fi,Color,101,66,975,931,833,4451,40000,377,272534,1,345,English,189412677,165000000,7.8,2.35
2004,Adventure|Animation|Family|Fantasy,Color,100,0,15000,726,267,16264,10000,188,120798,0,444,English,665426,165000000,6.6,2.35
2016,Action|Adventure|Sci-Fi,Color,120,776,890,812,535,3233,67000,286,58137,0,520,English,102315545,165000000,5.5,2.35
2010,Adventure|Animation|Family|Fantasy,Color,98,255,18000,953,759,20453,33000,288,485430,0,492,English,217387997,165000000,8.2,2.35
2003,Action|Sci-Fi,Color,109,84,648,284,191,1769,0,280,305340,0,1676,English,150350192,200000000,6.4,2.35
2014,Action|Adventure|Sci-Fi,Color,121,571,14000,14000,3000,32438,96000,653,682155,3,1097,English,333130696,170000000,8.1,2.35
2014,Adventure|Drama|Sci-Fi,Color,169,22000,11000,11000,6000,31488,349000,712,928227,1,2725,English,187991439,165000000,8.6,2.35
2010,Action|Adventure|Sci-Fi|Thriller,Color,148,22000,29000,27000,23000,81115,175000,642,1468200,0,2803,English,292568851,160000000,8.8,2.35
2016,Action|Adventure|Drama|Horror|Sci-Fi,Color,120,28,544,106,12,699,0,1,374,0,13,Japanese,,,8.2,2.35
2012,Adventure|Fantasy,Color,182,0,5000,972,773,9152,166000,645,637246,,1367,English,303001229,180000000,7.9,2.35
2001,Action|Crime|Thriller,Color,106,357,23000,14000,4000,45327,14000,187,272223,2,988,English,144512310,38000000,6.7,2.35
2008,Drama|Fantasy|Romance,Color,166,21000,11000,1000,919,13333,23000,362,459346,2,822,English,127490802,150000000,7.8,2.35
2011,Action|Adventure|Sci-Fi,Color,132,905,34000,13000,1000,50983,54000,500,518537,3,698,English,146405371,160000000,7.8,2.35
2015,Adventure|Sci-Fi,Color,137,508,34000,22000,14000,81385,38000,389,166137,1,383,English,281666058,160000000,6.6,2.35
2010,Action|Adventure|Family|Fantasy,Color,109,226,12000,418,370,13388,11000,235,124185,0,238,English,63143812,150000000,6.1,2.35
2006,Action|Adventure|Drama|Thriller,Color,98,249,87000,2000,702,92456,0,231,82380,0,629,English,60655503,160000000,5.6,2.35
2016,Adventure|Family|Fantasy,Color,113,33,40000,25000,11000,80806,30000,218,21352,1,131,English,76846624,170000000,6.4,1.85
2007,Adventure|Animation|Comedy|Family|Fantasy,Color,93,50,3000,795,692,4705,0,227,211971,2,326,English,320706665,160000000,6.1,1.85
2016,Action|Adventure|Fantasy,Color,123,0,3000,716,648,5505,89000,275,111609,0,781,English,46978995,160000000,7.3,2.35
2015,Action|Adventure|Sci-Fi,Color,126,230,24000,10000,2000,38873,82000,474,188457,2,867,English,89732035,155000000,6.6,2.35
2010,Adventure|Family|Fantasy,Color,113,150,531,82,59,764,11000,228,106446,4,227,English,104383624,155000000,6.3,1.78
2001,Action|Drama|History|Romance|War,Color,184,0,3000,961,691,5401,0,191,254111,0,1999,English,198539855,140000000,6.1,2.35
2007,Action|Adventure|Sci-Fi,Color,144,0,662,599,581,2333,8000,396,513158,0,1782,English,318759914,150000000,7.1,2.35
2004,Action|Adventure|Biography|Drama|History|Romance|War,Color,206,0,12000,11000,591,24598,0,248,138863,3,1390,English,34293771,155000000,5.5,2.35
2007,Adventure|Family|Fantasy|Mystery,Color,138,282,21000,11000,687,33433,0,329,355137,3,1108,English,292000866,150000000,7.5,2.35
2005,Adventure|Family|Fantasy|Mystery,Color,157,179,21000,11000,10000,53413,0,295,385670,1,1896,English,289994397,150000000,7.6,2.35
2008,Action|Drama,Color,102,532,10000,9000,979,21584,0,318,343648,0,590,English,227946274,150000000,6.4,2.35
2007,Drama|Horror|Sci-Fi,Color,104,508,10000,1000,558,13076,11000,323,530870,0,1413,English,256386216,150000000,7.2,2.35
2005,Adventure|Comedy|Family|Fantasy,Color,115,13000,40000,16000,588,57844,0,276,320284,3,1361,English,206456431,150000000,6.7,1.85
2007,Animation|Comedy|Family|Fantasy,Color,111,663,1000,1000,954,4764,10000,318,473887,0,626,English,206435493,150000000,8,2.35
2005,Action|Adventure,Color,128,22000,23000,14000,11000,59558,15000,478,980946,0,2685,English,205343774,150000000,8.3,2.35
2008,Action|Adventure|Animation|Comedy|Family,Color,89,35,1000,851,436,3285,0,167,146019,0,119,English,179982968,150000000,6.7,1.85
2009,Adventure|Comedy|Family|Fantasy,Color,105,189,49000,3000,1000,54039,2000,185,130272,2,209,English,177243721,150000000,5.9,2.35
2009,Action|Adventure|Fantasy|Sci-Fi|Thriller,Color,119,151,20000,16000,2000,40054,0,350,361924,0,641,English,179883016,150000000,6.7,2.35
2003,Action|Sci-Fi,Color,129,0,309,269,233,1062,0,245,364948,0,2121,English,139259759,150000000,6.7,2.35
2013,Adventure|Animation|Comedy|Family|Fantasy|Musical,Color,102,69,1000,523,490,2582,58000,406,421658,0,904,English,400736600,150000000,7.6,2.24
2003,Action|Sci-Fi,Color,138,0,234,198,30,534,0,275,421818,0,2789,English,281492479,150000000,7.2,2.35
2013,Action|Adventure|Fantasy,Color,112,230,26000,20000,12000,59803,63000,486,414070,3,532,English,206360018,170000000,7.1,2.35
2015,Action|Adventure|Sci-Fi|Thriller,Color,120,750,27000,9000,943,40025,191000,739,552503,0,1588,English,153629485,150000000,8.1,2.35
2009,Mystery|Thriller,Color,146,2000,15000,745,294,16948,0,298,207839,2,435,English,133375846,150000000,6.7,2.35
2011,Action|Adventure|Fantasy,Color,115,0,26000,20000,12000,60059,63000,516,536314,1,738,English,181015141,150000000,7,2.35
2008,Adventure|Animation|Comedy|Drama|Family,Color,96,59,17000,759,699,20007,0,225,146766,0,178,English,114053579,150000000,6.9,1.85
2009,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Color,88,12,730,607,182,2217,0,145,33042,0,90,English,119420252,150000000,5.1,2.35
2012,Action|Adventure|Fantasy,Color,99,473,14000,897,502,16184,19000,310,152826,0,253,English,83640426,150000000,5.8,1.85
2012,Comedy|Fantasy|Horror,Color,113,13000,40000,17000,16000,80849,82000,526,199039,7,479,English,79711678,100000000,6.2,1.85
2015,Action|Adventure|Thriller,Color,131,188,10000,10000,641,21840,47000,465,232187,0,440,English,195000874,150000000,7.4,2.35
2010,Drama|Fantasy|Horror|Thriller,Color,119,394,12000,490,162,13071,0,357,89442,0,432,English,61937495,150000000,5.8,1.85
2016,Action|Adventure|Drama|Romance,Color,110,282,11000,10000,103,21175,29000,248,42372,2,239,English,124051759,180000000,6.6,2.35
2007,Adventure|Animation|Comedy|Family,Color,91,58,2000,852,826,6576,0,194,105902,0,206,English,126597121,150000000,6.2,1.85
2011,Action|Adventure|Animation|Comedy|Family,Color,90,90,11000,10000,15,21015,20000,284,182718,0,209,English,165230261,150000000,7.3,2.35
2010,Action|Adventure|Family|Fantasy,Color,103,0,1000,756,346,2857,18000,280,118951,0,1382,English,131564731,150000000,4.2,2.35
2006,Action|Adventure|Thriller,Color,124,14000,22000,10000,979,34817,0,310,256695,0,871,English,133382309,150000000,6.9,2.35
2013,Action|Drama|Thriller,Color,131,776,17000,551,256,18204,33000,339,164238,2,434,English,73103784,150000000,6.4,2.35
2011,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Color,88,25,921,562,433,2652,0,132,17590,0,112,English,21379315,150000000,5.4,2.35
2006,Adventure|Animation|Comedy|Family,Color,85,42,20000,14000,586,35161,0,135,85086,0,122,English,64459316,149000000,6.7,1.85
2015,Adventure|Family|Fantasy,Color,111,456,20000,548,394,21393,24000,256,39956,4,186,English,34964818,150000000,5.8,2.35
2014,Adventure|Animation|Comedy|Family|Sci-Fi,Color,92,50,3000,1000,517,5810,11000,196,47900,2,130,English,111505642,145000000,6.9,1.85
2004,Adventure,Color,196,249,11000,5000,844,17944,0,220,381672,2,1694,English,133228348,175000000,7.2,2.35
2012,Adventure|Animation|Comedy|Family,Color,93,35,851,770,436,2444,17000,211,119213,0,154,English,216366733,145000000,6.9,1.85
2002,Action|Adventure|Thriller, Black and White,133,93,769,766,746,2538,0,264,169914,0,1185,English,160201106,142000000,6.1,2.35
2016,Action|Comedy|Fantasy|Sci-Fi,Color,116,176,783,370,322,2097,62000,464,69757,4,1211,English,118099659,144000000,5.5,2.35
1998,Action|Adventure|Sci-Fi|Thriller,Color,153,0,13000,12000,537,26029,11000,167,322395,0,1171,English,201573391,140000000,6.6,2.35
2002,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Color,88,188,10000,3000,826,14823,2000,208,270207,2,606,English,190418803,140000000,6.1,1.85
2007,Action|Adventure|Animation|Fantasy,Color,115,0,18000,12000,964,31523,3000,287,142440,1,505,English,82161969,150000000,6.3,2.35
2016,Action|Adventure|Animation|Comedy|Family,Color,95,5,24000,11000,967,36095,24000,210,64322,0,145,English,143523463,145000000,7.2,2.35
2011,Action|Adventure|Thriller,Color,133,663,10000,10000,690,21768,35000,432,365104,3,512,English,209364921,145000000,7.4,2.35
2012,Adventure|Animation|Family|Fantasy,Color,97,52,20000,315,161,20645,25000,256,123553,0,174,English,103400692,145000000,7.3,1.85
2005,Comedy|Crime,Color,90,23,957,550,233,1997,2000,135,110788,1,258,English,110332737,100000000,6.1,2.35
2003,Action|Drama|History|War,Color,154,380,10000,956,445,11945,0,190,317166,1,928,English,111110575,140000000,7.7,2.35
2014,Action|Adventure|Drama,Color,150,0,23000,893,748,26490,51000,314,128682,0,657,English,65007045,140000000,6.1,2.35
2009,Action|Adventure|Sci-Fi,Color,127,14000,26000,12000,981,39284,19000,518,504419,0,1559,English,257704099,150000000,8,2.35
2002,Action|Adventure|Fantasy|Romance,Color,121,0,24000,11000,4000,40484,5000,291,544665,0,2012,English,403706375,139000000,7.3,1.85
2014,Action|Adventure|Animation|Comedy|Family|Fantasy,Color,102,255,18000,3000,953,23378,46000,292,221128,5,343,English,176997107,145000000,7.9,2.35
2016,Action|Adventure|Fantasy,Color,126,295,18000,934,284,19769,24000,184,51892,4,273,English,31141074,140000000,5.5,2.35
2005,Action|Adventure|Sci-Fi|Thriller,Color,121,357,820,780,653,2705,0,145,45455,0,388,English,31704416,135000000,5,2.35
2009,Action|Drama|Mystery|Sci-Fi,Color,215,0,986,745,413,2530,18000,451,392474,1,1229,English,107503316,130000000,7.7,2.35
1998,Action|Crime|Thriller,Color,127,503,5000,808,91,6171,0,141,127497,2,287,English,129734803,140000000,6.6,2.35
2003,Action|Sci-Fi,Color,138,0,820,300,258,1814,0,267,212106,0,1445,English,132122995,137000000,5.7,1.85
2013,Action|Adventure|Sci-Fi|Thriller,Color,122,209,17000,12000,934,31958,42000,351,146352,6,288,English,122512052,130000000,5.8,2.35
2005,Action|Adventure|Comedy|Thriller,Color,124,42,11000,973,848,13073,0,163,77673,3,463,English,68642452,130000000,6,2.35
2001,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Color,106,6,12000,2000,422,15015,0,166,72259,1,788,English,32131830,137000000,6.4,1.85
2011,Action|Adventure|Sci-Fi,Color,124,394,11000,3000,2000,19761,46000,510,508818,0,679,English,176636816,140000000,6.9,2.35
1999,Action|Adventure|Thriller,Color,128,150,766,536,244,2037,2000,197,157519,2,683,English,126930660,135000000,6.4,2.35
2003,Action|Adventure|Drama|History|War,Color,138,608,613,172,168,1205,0,244,168207,1,684,English,93926386,150000000,7.4,2.35
2012,Adventure|Drama|Fantasy|Romance,Color,115,386,21000,17000,12000,59177,65000,322,185394,3,329,English,292298923,120000000,5.5,2.35
2011,Animation|Comedy|Family|Musical,Color,100,750,49000,11000,988,62644,0,156,32399,0,79,English,63992328,135000000,5.9,2.35
2008,Action|Adventure|Sci-Fi,Color,135,255,3000,1000,882,5811,0,354,326286,0,643,English,134518390,150000000,6.8,2.35
,Action|Crime|Drama|Mystery|Thriller,Color,60,,982,321,184,1687,0,21,16769,2,74,English,,1500000,7.5,1.33
2016,Adventure|Family|Fantasy,Color,117,14000,535,400,358,1950,27000,252,12572,0,106,English,52792307,140000000,6.8,2.35
2015,Adventure|Drama|Thriller|Western,Color,156,0,29000,27000,733,57108,190000,556,406020,0,1188,English,183635922,135000000,8.1,2.35
2013,Adventure|Animation|Comedy|Family|Sport,Color,96,13,16000,881,463,17416,13000,166,62424,0,90,English,83024900,135000000,6.5,2.35
2011,Adventure|Animation|Comedy|Family|Western,Color,107,563,40000,1000,939,43291,26000,362,183208,0,337,English,123207194,135000000,7.2,2.35
2014,Adventure|Animation|Comedy|Family,Color,92,35,19000,411,179,19963,11000,153,60230,0,118,English,83348920,132000000,6.7,1.85
2007,Action|Mystery|Thriller,Color,115,521,13000,897,883,17369,0,329,491077,0,820,English,227137090,110000000,8.1,2.35
2008,Action|Adventure|Animation|Comedy|Family,Color,92,54,11000,967,562,12754,6000,266,307029,0,360,English,215395021,130000000,7.6,2.35
2015,Action|Adventure|Comedy|Sci-Fi,Color,117,235,2000,2000,680,5730,61000,517,313866,6,549,English,180191634,130000000,7.4,1.85
2013,Adventure|Sci-Fi|Thriller,Color,146,508,34000,14000,523,49355,82000,502,498397,1,706,English,424645577,130000000,7.6,2.35
2012,Adventure|Drama|Fantasy|Romance,Color,115,386,21000,17000,12000,59177,65000,322,185394,3,329,English,292298923,120000000,5.5,2.35
2015,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Color,94,12,17000,523,183,17883,26000,165,70121,0,214,English,177343675,135000000,6.7,1.85
2005,Adventure|Sci-Fi|Thriller,Color,116,14000,10000,1000,807,12758,0,401,334345,0,2741,English,234277056,132000000,6.5,1.85
2003,Action|Comedy|Crime|Thriller,Color,147,0,10000,898,877,12954,0,94,178126,1,511,English,138396624,130000000,6.6,2.35
2011,Action|Adventure|Animation|Comedy|Family|Fantasy,Color,90,50,4000,442,397,5046,16000,246,114287,0,137,English,149234747,130000000,6.7,2.35
2010,Action|Crime|Mystery|Thriller,Color,101,176,11000,702,282,12406,23000,330,245621,1,514,English,118311368,110000000,6.4,2.35
2014,Action|Adventure|Drama,Color,138,0,12000,9000,8000,32355,71000,434,200022,2,1240,English,101160529,125000000,5.8,1.85
2011,Action|Adventure|Family|Mystery,Color,107,14000,2000,871,845,4631,44000,440,177383,1,447,English,77564037,135000000,7.4,2.35
2004,Adventure|Family|Fantasy|Mystery,Color,142,0,11000,10000,10000,33284,11000,274,382255,3,1504,English,249358727,130000000,7.8,2.35
2008,Adventure|Drama|Romance|War,Color,165,1000,309,284,165,921,0,245,102338,0,450,English,49551662,130000000,6.6,2.35
2013,Action|Adventure|Sci-Fi,Color,100,0,10000,943,894,14168,37000,349,158720,0,744,English,60522097,130000000,4.9,2.35
2000,Adventure|Animation|Family|Thriller,Color,82,0,1000,558,388,2945,0,145,38438,1,241,English,137748063,127500000,6.5,1.85
2011,Action|Fantasy,Color,,0,10000,570,159,11036,40,1,381,1,2,English,,,7.5,
2014,Adventure|Comedy|Family|Fantasy,Color,98,189,49000,3000,1000,53587,11000,154,67223,7,126,English,113733726,127000000,6.2,1.85
2010,Action|Animation|Comedy|Family|Sci-Fi,Color,95,96,24000,11000,8000,46120,13000,233,172754,3,187,English,148337537,130000000,7.3,2.35
